/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_5.0_bud_180_22-07-13-02-43/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=21472 | return=14.89 | steps=133 | track=c7a2aa00bca26e1dbd2a4f537527ef9b
global_step=21856 | return=-289.30 | steps=408 | track=05c47699922b4fa9029ac9ed1c8e296b
global_step=21984 | return=-179.96 | steps=131 | track=a76ca91eec5d48595b0a16e6c0d7ac65
global_step=22000 | return=-179.84 | steps=130 | track=a70e6ea0ecb3691c23597ffe1ea6c31c
global_step=22096 | return=-202.03 | steps=131 | track=3af764bc0f93718608e2c9207c635fce
global_step=22288 | return=-198.82 | steps=219 | track=186f8764515f94a4b65eb59b1d1dab1f
global_step=22688 | return=-170.94 | steps=131 | track=0fac9585fad0bbc310e004334d772989
global_step=22736 | return=-206.40 | steps=131 | track=f738a947f1bc1df86bc93a04de25ec2c
global_step=22768 | return=-210.58 | steps=130 | track=533c34de8ca8a288edafd10457f5f0c0
global_step=22816 | return=-175.43 | steps=131 | track=22b013f5eea933cc87a66b49a4acfb0a
global_step=22832 | return=-200.20 | steps=131 | track=ef1365056b72b76694ddf52bda3b8d36
global_step=22832 | return=-171.01 | steps=131 | track=2291ae6f5f8e788a4ddc45b081ed4d6f
global_step=22928 | return=-159.48 | steps=131 | track=5332414c0208385bf48078fb5aac77b0
global_step=23552 | return=-262.25 | steps=185 | track=cc603e7ef17cf949a663ac64e8f8e9dc
global_step=23584 | return=-220.38 | steps=131 | track=730e90c13c0c15be3f87e644861189cf
global_step=23888 | return=-210.17 | steps=179 | track=78a7571d15d773cdbdea90f051b98655
global_step=23968 | return=-188.46 | steps=131 | track=de2b9660857f6a691b2ef9b10818026f
global_step=24080 | return=-185.02 | steps=130 | track=c3898851074a88ba386ed117fadb2316
global_step=24096 | return=-195.62 | steps=130 | track=2cc51f06637dbeb74e8bd9463ed2ad0a
global_step=24192 | return=-150.58 | steps=130 | track=5b7995f487f34cfacbf093ccabb77db4
global_step=24320 | return=-66.94 | steps=92 | track=3b74d1377949ae781d161e80ae9f507a
global_step=24400 | return=-168.82 | steps=131 | track=7bc99be9163c26bf0fc9cec57fd3540c
global_step=24496 | return=-100.02 | steps=103 | track=2f47483d66188fcf27a9a39b77835ef7
global_step=24768 | return=-37.98 | steps=73 | track=bdf141df8d65b6baa91c61d00a17611a
global_step=24832 | return=-145.87 | steps=130 | track=5a5abc443301238792c8e8a5310dfd38
global_step=24880 | return=-188.82 | steps=131 | track=9ed32d095ed50b342d722b54f1bca5a7
global_step=24928 | return=-186.81 | steps=131 | track=dc2375d056c621fef40bda37710b8f0c
global_step=25024 | return=-211.42 | steps=130 | track=770dc704917ebcf9339d269105385929
global_step=25664 | return=-161.05 | steps=131 | track=8ee06f6e8c242a2653149d8b28140075
global_step=25904 | return=-81.27 | steps=106 | track=feb2f74ee51f880366f78064fa53166e
global_step=26000 | return=-206.40 | steps=131 | track=0b203f7b624d63aac3ee902ff5fa3e5f
global_step=26192 | return=-169.84 | steps=130 | track=6a7739e563f109ffb19b7d51a32accdc
global_step=26512 | return=-178.98 | steps=131 | track=f0d6c3b45173af0e2e77f3355b0daf4b
global_step=26592 | return=-187.20 | steps=130 | track=e48e6aaa8fb3b4affaef36056f45e093
global_step=26640 | return=-115.68 | steps=144 | track=7223f0440fad101a57231896fdc83403
global_step=26672 | return=-81.80 | steps=47 | track=641ef467d3988cdf722461e23a69c3a1
global_step=26736 | return=-210.62 | steps=252 | track=5f14667dbc40dc45a733d6eb992afbbc
global_step=26864 | return=-181.35 | steps=130 | track=c41ecddc8e5cddf39e40f2afd94cfdb0
