/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_3.0_bud_180_22-07-13-02-41/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=16816 | return=-145.38 | steps=196 | track=439df719c2b65ad9694bf2ef88c06116
global_step=16832 | return=-214.18 | steps=179 | track=236e31abd2b5be9ce36d5e1777e1e600
global_step=16976 | return=4.96 | steps=68 | track=68bb828a72dedd5e3f96d0942d7fb87d
global_step=17088 | return=17.15 | steps=66 | track=c18c3730cd646e40bca148286d4de69c
global_step=17136 | return=-73.16 | steps=49 | track=5770390188ce674b677111209e1efbdd
global_step=17136 | return=-150.39 | steps=131 | track=6717c50c97b31e6fec19c18c256ba583
global_step=17280 | return=-77.56 | steps=99 | track=3566fd4c174e03dedb465537c1c8b4d9
global_step=17376 | return=-161.01 | steps=131 | track=afce99c70b37b5938937490e715f8c52
global_step=17456 | return=-145.01 | steps=130 | track=cd6ba1eea3cab91401c0f81387185577
global_step=17792 | return=-160.61 | steps=131 | track=fcf701dc498ab16196b541aa6fcf770b
global_step=18016 | return=31.23 | steps=167 | track=c36f34dbf26008824b24c79dd38dfb46
global_step=18112 | return=-109.31 | steps=143 | track=b5aded387756c44f54068c314b78c590
global_step=18192 | return=9.64 | steps=65 | track=9313356f1bb7ef17919eb3e5b593c2f3
global_step=18720 | return=-159.52 | steps=130 | track=9c9eb7e08a9bfc1d52833282d755a06d
global_step=18752 | return=-172.96 | steps=131 | track=22faa4445e1fab894d9d4f58c678e4b8
global_step=18784 | return=-148.69 | steps=131 | track=2d237ae346cfc0eeaa798aecdf3313ad
global_step=18816 | return=-156.60 | steps=131 | track=aeebed3a2e6ec0d9424c90e9b10a2233
global_step=18912 | return=-166.36 | steps=130 | track=36beb5850fe9e16c0903589f8e5d8763
global_step=19088 | return=-147.19 | steps=131 | track=ef7df5886c83242cf369a5966bf54859
global_step=19184 | return=-108.49 | steps=146 | track=947c05a11fa48007f96e9c6632266453
global_step=19248 | return=-145.77 | steps=131 | track=2a3f99fc710c405de531376ecf7a5783
global_step=19392 | return=-150.58 | steps=131 | track=757a3a13380d442c703b4d02783932af
global_step=19456 | return=-92.09 | steps=89 | track=41ac5f1d04964920dd33c2878083770b
global_step=19488 | return=-153.26 | steps=131 | track=1073752089d85e7b2d3fc736c3140119
global_step=19632 | return=-128.59 | steps=158 | track=1e22e3572efd305d782fe0dd98c170ab
global_step=19776 | return=-94.97 | steps=61 | track=b3559a15764c34263ed45d6494ca4668
global_step=19904 | return=-141.78 | steps=131 | track=4e2cd17ece8304621c7282c9979cda13
global_step=20208 | return=-48.87 | steps=59 | track=e401b90736a1e7404e9cc0d4a508be92
global_step=20224 | return=-158.01 | steps=131 | track=0e9e4c2b7fc2791805f9b81e0a4fbbce
global_step=20384 | return=-67.92 | steps=80 | track=457a49d6ff5dcebbb562b32bdae67020
global_step=20608 | return=-76.32 | steps=150 | track=10e977c267880d80c2c807cdfb2d5cda
global_step=20832 | return=-155.98 | steps=131 | track=d67d9f8f8abeb57e44824242825165d7
global_step=21024 | return=-164.77 | steps=131 | track=be324733d37f1fe8fc8c5d9779fad0f7
global_step=21296 | return=-147.13 | steps=131 | track=7cd0e8afe5bc96bd95a8948007659e4d
global_step=21312 | return=-48.94 | steps=155 | track=66faa5d0e0b897f191dabd9fa05d4866
global_step=21504 | return=-156.16 | steps=131 | track=dec6e74df6a97b0a6296e7a18c8c3701
global_step=21584 | return=-160.74 | steps=130 | track=64ab865de8c3d3feab1878f89cdfa5bf
global_step=21760 | return=-100.65 | steps=143 | track=5a41c826ede4c51605a681d0bdb32e00
global_step=21952 | return=-109.77 | steps=280 | track=8907df15fe86cf62478dee4df1767ad4
global_step=22000 | return=-160.17 | steps=130 | track=37ea092fe71fe50405a364804a8fd49e
global_step=22032 | return=-91.24 | steps=149 | track=4a0789f69a14eb0909e80bbcf1074eb5
global_step=22304 | return=-161.58 | steps=130 | track=5c803f0c3c29b8230fa39487aa36d1ac
global_step=22320 | return=-171.08 | steps=222 | track=a750322429d257db69b68696a1e866c5
