/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.6_bud_180_22-07-19-18-34/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=20512 | return=-127.03 | steps=131 | track=603419a1570c3b0b9d0bd799ce5c3a2a
global_step=20528 | return=-128.13 | steps=131 | track=3a596dd29760d6790a0040220b795913
global_step=20688 | return=-145.76 | steps=130 | track=2e055278650174a682dd646838572042
global_step=20720 | return=-87.36 | steps=101 | track=654b08664948c9cefe646d986ed4adce
global_step=20800 | return=-144.42 | steps=130 | track=ba4c21d66f0d06ca8ce68dd023324e78
global_step=20864 | return=-146.24 | steps=130 | track=35f9ef30626ad36ad71f0e02b6dbcb53
global_step=21008 | return=4.60 | steps=65 | track=437c913fa016808ce8e70ae47638674a
global_step=21312 | return=-41.69 | steps=49 | track=d30cfb4101eda4eb39ef8891075c9668
global_step=21360 | return=36.38 | steps=84 | track=067caa16f58cc3b21f9ba61c17102352
global_step=21376 | return=-145.11 | steps=130 | track=061ad8ba3cca6e2b5e215165f4a3facd
global_step=21504 | return=10.87 | steps=80 | track=4b0a18f388e8403d9f1220f1d409a4ac
global_step=21712 | return=-149.20 | steps=130 | track=3ff5883369a03704d9d2f79ec52ab6e3
global_step=21952 | return=-137.80 | steps=130 | track=5413e03d6894def9dbb5e7ee47ed5cd7
global_step=22224 | return=-143.17 | steps=131 | track=899751b714d752776e50c1f1a1695570
global_step=22224 | return=-137.10 | steps=131 | track=9849723aa07d0bdeef50548539f1f271
global_step=22256 | return=-123.50 | steps=131 | track=d54c575c5dcc4e16892234869aace25c
global_step=22400 | return=-28.14 | steps=63 | track=4673ce27ea95789a3507b2083edfeda0
global_step=22416 | return=28.78 | steps=140 | track=0e09441ab81f1794dddca282507f15ba
global_step=22528 | return=-69.49 | steps=50 | track=303d90ebbfab8136a7c24c4b7f7cef6f
global_step=22640 | return=-150.32 | steps=131 | track=751578de01b85716ad8f73cefc581acd
global_step=22768 | return=-29.20 | steps=50 | track=2d3fa7ae6ad189a547da888e11592000
global_step=22800 | return=-145.21 | steps=131 | track=3707594f132ac48fec08409f4705f0f9
global_step=22832 | return=-151.72 | steps=131 | track=6a650293a49679d5620a132d6573e57d
global_step=22976 | return=-143.92 | steps=131 | track=b2b855ddff47675d33a49fa5100bfcf1
global_step=23216 | return=-34.59 | steps=61 | track=942be2544a4f43e4017579e65b532785
global_step=23424 | return=-144.64 | steps=131 | track=ffe210613c04fd190eec5dbea01ebf1f
global_step=23472 | return=-148.22 | steps=131 | track=f8663120b4cdaa6b8edfec94d6c66cd8
global_step=23520 | return=25.14 | steps=69 | track=da1ccdf25a0c16a7c06530a6e73c5a27
global_step=23568 | return=-31.43 | steps=57 | track=fe0568eb0f92283f7e513c6c9c643947
global_step=23616 | return=-137.82 | steps=131 | track=38bc4bcc2caff590e75740f216948ab9
global_step=24336 | return=-132.67 | steps=131 | track=5a96e3349145e731c0a82b83dc1f260f
global_step=24352 | return=-147.64 | steps=130 | track=1030e41875825ead576438814699af68
global_step=24464 | return=-217.44 | steps=228 | track=7bf1e766cad86173875c6e782a1bfd85
global_step=24544 | return=-74.65 | steps=108 | track=0320d7496d481d5c6f79fd893536b30f
global_step=24640 | return=-193.08 | steps=226 | track=51dee0e75d10ef17050231252587f6ac
global_step=24864 | return=-146.16 | steps=130 | track=0e349cbad4597ae1c5b432ce91aeef37
global_step=24912 | return=-73.43 | steps=148 | track=8a2a46621b9a7774674f6c147a9518fe
global_step=24944 | return=-140.36 | steps=131 | track=7ba00c4217153fff6342848013e9658a
global_step=25056 | return=-15.63 | steps=164 | track=def87525095daff4c7127af44fa887ed
global_step=25088 | return=-165.77 | steps=131 | track=fdfb040afff45a3320b035b8d29c5907
global_step=25488 | return=-125.51 | steps=141 | track=7881bdd3b74e88adf0c5ac572b71692f
global_step=25536 | return=-147.33 | steps=131 | track=e1078a3c0e7263ffbc72c2bc5a53b87f
global_step=25568 | return=-152.40 | steps=130 | track=8f89b63fadef2530bbad6a49d8f7d1d6
global_step=25632 | return=-139.51 | steps=131 | track=9be363dde4dcac04a94e56e3fd9eff80
