/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.2_bud_180_04-08-13-39-43/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=23776 | return=-0.64 | steps=66 | track=bec59681880227eb4f2ec21622a8cfbe
global_step=23888 | return=-120.63 | steps=104 | track=287bbf01313f55b2fead3ad600fd0c6f
global_step=23888 | return=-147.63 | steps=101 | track=091b26dd15fbf8849ada48b4dfb77100
global_step=23984 | return=-159.03 | steps=131 | track=2bea727cbb072a9783ed6c2d2d96b946
global_step=24000 | return=-126.54 | steps=104 | track=b71d4501a6cbeee94c623d9ae2f4a8c1
global_step=24272 | return=-79.08 | steps=92 | track=aae80f55688212b6a5c75c414cb155c9
global_step=24464 | return=-141.53 | steps=131 | track=8d93bf14dcb42bee4fcbb3dc147c7703
global_step=24512 | return=-13.54 | steps=68 | track=b89d0f0f98592d6b5d0e6eede4e17142
global_step=24688 | return=-102.38 | steps=88 | track=7358ee10a6ff088aa0bce56c148f8842
global_step=24720 | return=-150.34 | steps=131 | track=dc842c498602df9cc999dcc3ba1d7aa8
global_step=24736 | return=-26.73 | steps=62 | track=d28e06a1b3988783f72ed43ffa1cc72d
global_step=24784 | return=66.85 | steps=178 | track=2bba0b7e49f80abc9d0d693e3b6bdf85
global_step=24800 | return=-110.92 | steps=89 | track=41f79bea9f7e0738d10a23e16581c423
global_step=24816 | return=-141.78 | steps=130 | track=e4701768f623aafe8d125c5a9bbed56d
global_step=24896 | return=-8.22 | steps=62 | track=58d91f082b1dce1c96b025c2fbe70125
global_step=25056 | return=7.99 | steps=65 | track=fd9b5597552ac01f7aa0399711cb6fe2
global_step=25392 | return=-147.82 | steps=130 | track=4257d16379cff0ba5b72a4c5fc396f6f
global_step=25424 | return=-101.88 | steps=89 | track=52ba99c4ea1d7499b7be4ab69e85c243
global_step=25680 | return=-84.59 | steps=138 | track=475acc483499c6e22a092d0a284fe7f0
global_step=25792 | return=-38.39 | steps=62 | track=72d36ee7fe0f39694705c239c352c977
global_step=25808 | return=10.52 | steps=66 | track=904cb0ee37b3559e0b4dd44d1c63833d
global_step=25888 | return=-146.99 | steps=131 | track=86705c002d11e88b847488b334bfe176
global_step=26000 | return=-145.70 | steps=131 | track=ef0229df82e656ec4e6bf5c36b58bbf1
global_step=26384 | return=-168.66 | steps=131 | track=9f08275cd526604029bda32ead7a04ef
global_step=26576 | return=-160.19 | steps=131 | track=fa515b0e84bb7bc659c9ef1348568a08
global_step=26624 | return=-139.40 | steps=131 | track=06eee987f4a49a105a3d94ca14221757
global_step=26640 | return=-67.85 | steps=46 | track=016e54a33491084c6f6c6d9c1c45e80c
global_step=26784 | return=-155.17 | steps=130 | track=bf1b8a60f7d85ea8b0b1d3dba0ea8314
