/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.0_bud_180_03-08-23-08-25/info_settings.txt
Device: cpu
Navigation model path: runs/CarRacing-v3__train__1__1785768450/agent_step3276800.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=23392 | return=-108.10 | steps=131 | track=6037f14e029a099d907a4351d9c9ea28
global_step=23424 | return=3.08 | steps=79 | track=462792ba9f652e8ab751a80179cdd56b
global_step=23600 | return=-106.47 | steps=131 | track=765d7b636b7a1b502323a1f1f3a8f16d
global_step=23648 | return=-102.59 | steps=131 | track=1d50794c6d22cea32307d3c1b67ab984
global_step=23984 | return=-119.35 | steps=131 | track=d17954cdc95e5eb576c9808132a8dbac
global_step=24048 | return=-86.85 | steps=105 | track=edcbbad72f47cbc4735c7f0dba1aa958
global_step=24048 | return=-114.28 | steps=130 | track=9c5514defd5dca51cf261e97ef2b965c
global_step=24128 | return=-97.44 | steps=108 | track=f073a6f185be4e04b0f79345750c375d
global_step=24160 | return=-66.60 | steps=232 | track=8ee5950d2c80eebf54c38f06c0fa0fb0
global_step=24256 | return=-123.54 | steps=193 | track=1c6bf73c5f345dd5720c382a3496244d
global_step=24304 | return=-70.22 | steps=81 | track=a17de15f100107b77506c2c0655e1c6c
global_step=24336 | return=-57.10 | steps=45 | track=808499ce83a5138a8206e71e06dbfb96
global_step=24688 | return=-90.80 | steps=131 | track=85e36be998d3560ae91cd8dc206baac0
global_step=24864 | return=-93.47 | steps=131 | track=495fa19c866fac8e0282a8c8ae9edde4
global_step=24976 | return=-93.87 | steps=96 | track=ecadd88805141fca0043c3987c5539b2
global_step=25120 | return=24.79 | steps=66 | track=a03eefc2f9fb3f6270f7593cdfeae0b9
global_step=25200 | return=-104.09 | steps=131 | track=ccec68415980c6a60f3d95bc72a6a610
global_step=25328 | return=-93.18 | steps=131 | track=57bcdfd6baa04133cc2b6ce1315f60b7
global_step=25408 | return=18.12 | steps=79 | track=70e5098f4a45642f0318decefc9c9140
global_step=25424 | return=-100.22 | steps=131 | track=6ced09d6692c64d8f42f75cd1861bff7
global_step=25744 | return=-108.80 | steps=130 | track=65e035cc234551570d302b2b69e7638c
global_step=25776 | return=-103.89 | steps=148 | track=5a802022ae3539fd3af611370587e2ef
global_step=25888 | return=-23.71 | steps=96 | track=b670491b75fdf8b37e1c68960263af1f
global_step=26080 | return=2.70 | steps=59 | track=7d6f62f86f8fd0e4d5053a424a576571
