/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.7_bud_180_03-08-23-08-21/info_settings.txt
Device: cpu
Navigation model path: runs/CarRacing-v3__train__1__1785768450/agent_step3276800.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpuNavigation Model loaded on cpu

Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=19360 | return=-155.47 | steps=239 | track=c7f412af85031abf814263d1b0453b58
global_step=19440 | return=-112.32 | steps=130 | track=4be43a337deeed756aaca1002619c6e6
global_step=19616 | return=-48.89 | steps=44 | track=e19de0bcfd3cdd339f98d0fb18a6b21d
global_step=19696 | return=-70.47 | steps=40 | track=15921d40704b14838dc21f144c12f3f5
global_step=19776 | return=-15.35 | steps=71 | track=762d04f6213adf98a1953cc7c34546af
global_step=19840 | return=-101.34 | steps=130 | track=ca78a5bc0f6335af6c92019426148220
global_step=20032 | return=-66.26 | steps=124 | track=8eca61f4af4fd55b5206337cd812621b
global_step=20048 | return=-106.53 | steps=131 | track=e7fc0376b06d9de934eb6b97ebd67d48
global_step=20256 | return=-96.48 | steps=131 | track=def4154e9d70b868a0146b95e49ed247
global_step=20544 | return=-62.75 | steps=43 | track=4cee858838e3d8d18acf01ba46095289
global_step=20608 | return=-53.73 | steps=144 | track=b38057230ad0151a4840e5e1eec22ebf
global_step=20736 | return=-99.52 | steps=131 | track=f3f997285faed7e75a6678d1fd424e4e
global_step=20832 | return=33.23 | steps=91 | track=62efe74093560706c5ea19c006bb37e9
global_step=21232 | return=-11.75 | steps=60 | track=222f75afdf866f111e9d991991716372
global_step=21408 | return=-32.06 | steps=156 | track=cb509f1e9fb759d276e62134a0a2ba08
global_step=21424 | return=-101.81 | steps=131 | track=b5ebe2dd7563d91d2da8e67e0e6eda40
global_step=21456 | return=-7.48 | steps=151 | track=635d9959211e7f1498a6c6bbc8145514
global_step=21568 | return=-67.97 | steps=94 | track=a288ec5b9fec4b1622a7fb55bf2e4a83
global_step=21632 | return=20.94 | steps=63 | track=2fe28e3900eb2d8920f9e14e19b269e1
global_step=21696 | return=-83.43 | steps=170 | track=e69434f98d195d457512a7046e7610ef
global_step=21712 | return=-104.85 | steps=130 | track=d410fe2ebfd6110ae2e2f9da7e8779e8
global_step=21792 | return=-59.71 | steps=146 | track=86224eb01d00f079d4f8debba5a0d4c8
global_step=21808 | return=-86.30 | steps=131 | track=12c7cbc2eba3b6577caaa9f4a8745928
global_step=22000 | return=-81.88 | steps=138 | track=c459eab9fd36a2863e5ae7679225ba22
global_step=22096 | return=-4.04 | steps=240 | track=dfbbdf0677c8ec65be7203dba005b520
global_step=22144 | return=-98.83 | steps=131 | track=ecf2be6a177c0313f68a46e50d8ae33f
global_step=22272 | return=-52.94 | steps=52 | track=474562c205f9637fc71817dd39fbe23f
global_step=22704 | return=42.26 | steps=70 | track=8dfd192006651fb44557e6e8feb1623d
global_step=22784 | return=26.52 | steps=82 | track=6dc6e16a4c391acc56a078b80b1afb3a
global_step=22848 | return=-100.66 | steps=131 | track=7600a61f37858295256114a489001589
global_step=22944 | return=-98.82 | steps=131 | track=09062f24f4151beeafb172f3c1dd72cf
global_step=23216 | return=-83.79 | steps=166 | track=44f20d6c2c232ab44cd8a209d669c38a
global_step=23264 | return=4.76 | steps=72 | track=fa2d747efe35d6736775e3a6b26cba5c
global_step=23344 | return=-109.45 | steps=131 | track=23a3404c06b3a49548540812d051dd57
global_step=23520 | return=-103.18 | steps=131 | track=c99fc6f47901158b80d4d59ffc52cd3e
global_step=23744 | return=-102.94 | steps=131 | track=aa348a5a1a2265751047c614ea77ccbe
global_step=23808 | return=-100.49 | steps=131 | track=132ff7febb95cc4861a59c57224ecc92
global_step=23808 | return=-114.31 | steps=130 | track=9e24d468f5d6955acee113e7358631ff
global_step=23904 | return=-98.76 | steps=130 | track=97e44c09649e1b06d191986da3122432
global_step=23904 | return=-94.96 | steps=131 | track=f4eef6eb9d5bb00b51f6eb8a5c917443
global_step=24112 | return=-98.21 | steps=131 | track=255e0783311b0135cf02dca56b874ac5
global_step=24240 | return=0.13 | steps=63 | track=6133b3930fffaafea7eef060aef7b83d
global_step=24384 | return=-92.38 | steps=131 | track=57fe44350b938679c0800f662201e1ad
global_step=24496 | return=-54.48 | steps=46 | track=f91ec4f173fb36cd605ca36eeb166e2b
global_step=24816 | return=-98.30 | steps=131 | track=9ca19fa150144bcdb504af43d38f86f5
global_step=24880 | return=35.35 | steps=170 | track=2959a1af3dc6b93ff32d7e0a0e6a855e
global_step=24896 | return=-128.30 | steps=131 | track=1bbdbee4b93a881192260a0b0d03ccc7
global_step=25056 | return=-96.47 | steps=131 | track=17f1f8adf07bc35d4ef31b34a9f684bf
global_step=25280 | return=-48.69 | steps=48 | track=47545f33e41da018ea7c3c5eb056fdd3
