/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.6_bud_180_03-08-23-08-20/info_settings.txt
Device: cpu
Navigation model path: runs/CarRacing-v3__train__1__1785768450/agent_step3276800.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=18304 | return=-46.26 | steps=225 | track=157ed3f5a5eb06cadc1866ae96047350
global_step=18320 | return=-102.06 | steps=131 | track=e6acd05518649969c448ea6f1698b2a0
global_step=18336 | return=-107.51 | steps=131 | track=3728a9487c603af926ed4f89f2320799
global_step=18832 | return=-92.85 | steps=131 | track=8ede04fcc7d3d3527ff8fe508a63a08d
global_step=18992 | return=-99.31 | steps=130 | track=f9131552010231be10914bf80af9bfe3
global_step=19088 | return=-45.23 | steps=144 | track=02633faadedff0aed8990244dc14d883
global_step=19104 | return=-83.31 | steps=109 | track=10cf1f96782ea7b2bcff79b755caf098
global_step=19344 | return=-92.11 | steps=131 | track=47265f6163be45abe481616d31d47619
global_step=19488 | return=38.93 | steps=72 | track=403378ddf796c18b8c257e5129748ef9
global_step=19520 | return=-94.00 | steps=96 | track=68350ec5d6d9097734d6462cdf247a68
global_step=19552 | return=-107.49 | steps=130 | track=3b491ecd6272490fb11f7af357bf545f
global_step=19616 | return=-103.77 | steps=131 | track=cc8e9346fedadb07463a1c99e20f42af
global_step=19792 | return=-35.80 | steps=99 | track=cf468a5fcb018301f0baa608a2c3e2db
global_step=19840 | return=-105.33 | steps=131 | track=c808d58b37946096853f635b29a3e6c6
global_step=20016 | return=-100.61 | steps=131 | track=fbbfbcb10ecae98b5e15adc3411615d7
global_step=20016 | return=-60.19 | steps=41 | track=cd796af3abeed556b2be0250cc33c244
global_step=20176 | return=-70.90 | steps=40 | track=b40c64f9c0c715806752b6ad08b256fd
global_step=20192 | return=-98.20 | steps=131 | track=821c159752bd59bb9c83c2d0fa539e00
global_step=20304 | return=-104.01 | steps=131 | track=0f38d44348ae74a8bdabd4ea4d382250
global_step=20416 | return=-94.75 | steps=131 | track=91db547391d0d476ed6ca95eb90a003c
global_step=20448 | return=-102.21 | steps=131 | track=484aa66b97768e8a8514ab622a11487a
global_step=20944 | return=-108.58 | steps=131 | track=7fd61006223a86f12d9a3bd2ed1ab8ee
global_step=21088 | return=-106.16 | steps=130 | track=e0c3a967b411956ecf7bbb3c74e34ea6
global_step=21104 | return=-105.03 | steps=124 | track=4c926770d3c4ef83f1617cbe9fb7286e
global_step=21184 | return=-102.36 | steps=130 | track=aa493dfc15f48e687fd05541b71e28f5
global_step=21280 | return=-82.64 | steps=89 | track=dd0693ef372d9176f6f430c31c6285fe
global_step=21504 | return=15.90 | steps=65 | track=a47d6e3cea62ce6a09e43363fe3627d2
global_step=21648 | return=-94.42 | steps=130 | track=53fd2f43ba124a65386431598476ee63
global_step=21728 | return=-92.63 | steps=131 | track=64ff9c2edc0a622ab2d865f9ca9833a2
global_step=21776 | return=16.24 | steps=99 | track=a85c4dee583fbea2402531b7e9bd3313
global_step=21904 | return=-102.37 | steps=131 | track=cc7da79a390bb28dc3eafdf90bf48f51
global_step=22112 | return=-102.79 | steps=130 | track=31fec3de4d59c535419e260d69d7d196
global_step=22240 | return=-63.89 | steps=45 | track=5322512e4eabfff5d58854d5270f7dba
global_step=22272 | return=26.25 | steps=67 | track=c15c17acc6874fc3dbb3a3c31188266d
global_step=22304 | return=-89.11 | steps=131 | track=b05a46fb93f7b0f6eba53e3a598d3337
global_step=22528 | return=-88.93 | steps=131 | track=e1213915d15242dca4ff35142796183d
global_step=22832 | return=-57.73 | steps=57 | track=3f7c85cef691426d177d84c08c85457e
global_step=23040 | return=-98.46 | steps=130 | track=d24490a3d04533c6802ce971e94b2cc6
global_step=23152 | return=-108.78 | steps=228 | track=fa8911faab0b1e5984ca530710103c77
global_step=23200 | return=-102.69 | steps=130 | track=6e9a85aad246480da7043cb9a7cad2f7
global_step=23200 | return=-97.35 | steps=131 | track=7f096f52bca206e4720239fbb6b88dc2
global_step=23376 | return=-5.29 | steps=66 | track=5116068f3a5b4679fbe091b249d18a2b
global_step=23376 | return=-100.63 | steps=130 | track=6105be7338c8d355cfbf1a5ddbbc3723
global_step=23440 | return=-76.61 | steps=195 | track=1f82ea15b84c1d59dfb2028b048dc59f
global_step=23616 | return=-91.39 | steps=224 | track=7eb3ac50af0f7f73afbab2f9cda1ff81
