/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_0.1_bud_180_21-07-13-18-21/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=22288 | return=-7.44 | steps=68 | track=17c64cfcffbc94aac0c54a8c8a7a34bd
global_step=22288 | return=-135.35 | steps=130 | track=3e14005d388c226087c329852a56348d
global_step=22416 | return=-120.26 | steps=131 | track=51967464eafa38d8dc57e6382d2b47d8
global_step=22448 | return=-140.80 | steps=131 | track=fb65a9ee69ee674638a3b7026a1b6daa
global_step=22624 | return=-132.70 | steps=130 | track=25128a529be6ec97c1adece1bb066e77
global_step=23168 | return=9.25 | steps=65 | track=5be1c958b008941f48f3ae017550457e
global_step=23232 | return=-165.16 | steps=214 | track=cd3f8b539f01aa3f35f733acd4368ba9
global_step=23296 | return=-37.52 | steps=154 | track=0fd41bf3d323e52e404fb5dc2f343cc7
global_step=23328 | return=-130.79 | steps=129 | track=04e4f8af2cbc78dc1eecd5738564b98a
global_step=23440 | return=-18.28 | steps=155 | track=2501b252f38dc5298c37b7d648985d8c
global_step=23440 | return=-131.31 | steps=131 | track=96c2df9edaea6f12f3081ee09fb99947
global_step=23600 | return=10.14 | steps=87 | track=43c9a089f16d2beb21f481745bb3cc1e
global_step=23648 | return=-130.79 | steps=131 | track=3ee2f7ddeee15dccc62c02b79aeca7f5
global_step=23792 | return=-135.04 | steps=130 | track=48f003573e0ffb7fa13234221b5f1aa9
global_step=24048 | return=-111.40 | steps=131 | track=60c6cb7e1a940758dcbfb6e5701703cd
global_step=24048 | return=-124.75 | steps=131 | track=26482459c54c3f92abbc2d90e53bed21
Traceback (most recent call last):
  File "/md0/home/UFAD/tcuevasmestanza/CarRacing/training/train_adaptive_fps_track_aware_lstm.py", line 371, in <module>
    next_obs, reward, terminations, truncations, infos = envs.step(action.cpu().numpy())
                                                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/gymnasium/vector/async_vector_env.py", line 393, in step
    return self.step_wait()
           ^^^^^^^^^^^^^^^^
  File "/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/gymnasium/vector/async_vector_env.py", line 452, in step_wait
    env_step_return, success = pipe.recv()
                               ^^^^^^^^^^^
  File "/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/multiprocessing/connection.py", line 250, in recv
    buf = self._recv_bytes()
          ^^^^^^^^^^^^^^^^^^
  File "/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/multiprocessing/connection.py", line 430, in _recv_bytes
    buf = self._recv(4)
          ^^^^^^^^^^^^^
  File "/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/multiprocessing/connection.py", line 395, in _recv
    chunk = read(handle, remaining)
            ^^^^^^^^^^^^^^^^^^^^^^^
KeyboardInterrupt
