/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_0.5_bud_180_21-07-13-22-39/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=22048 | return=-131.47 | steps=131 | track=a4ec00e104f3e4cc9c8da116c1a70e82
global_step=22112 | return=-136.09 | steps=131 | track=bb1379167e88b8a3af908a1309f728a7
global_step=22144 | return=-135.67 | steps=131 | track=40b145a435f3f94da359c9800e999c4d
global_step=22288 | return=-42.05 | steps=108 | track=d327f82110e4a2b80e4b6de23dbe7148
global_step=22464 | return=-133.13 | steps=131 | track=1e718788408c489bccaead64e811c84a
global_step=22496 | return=-131.55 | steps=131 | track=567e7c821a1742b8c0187267af5310d6
global_step=22560 | return=4.34 | steps=64 | track=7326871219bcb9ef72cef7e08d151976
global_step=22800 | return=-125.30 | steps=131 | track=a2de42006a92e1c7a1506fdc8f30a78c
global_step=22880 | return=-12.99 | steps=160 | track=9b675c487441baeb50d35260a174a60b
global_step=22992 | return=-140.37 | steps=131 | track=802869b689d4fd04b11a35bc4f98bc80
global_step=23072 | return=-126.87 | steps=130 | track=279a4232b8d971271ed4a5ec89176ae2
global_step=23088 | return=-12.54 | steps=60 | track=016b997ac1ba1e1b31786b7c62f8f15a
global_step=23136 | return=-128.86 | steps=131 | track=963c25180168e01822fdb41a5a65ea93
global_step=23376 | return=-129.38 | steps=130 | track=e7d420d130bd86da660211d5edfce763
global_step=23552 | return=7.80 | steps=67 | track=fb552095ae18f754cc591eafdded7b1a
global_step=23680 | return=-137.99 | steps=130 | track=89a64472f3a1e951ef879beee74beab6
global_step=23872 | return=-130.31 | steps=131 | track=2ee9ffda445115edef228b14c87941d9
global_step=24160 | return=-128.50 | steps=131 | track=854506eb290f67134ae6e1264ac61c32
global_step=24240 | return=-146.72 | steps=130 | track=0f4c0a7d97633756488e4d6bcc56225a
global_step=24608 | return=-129.00 | steps=131 | track=68a051060c908ee056bf2f2088d00a0a
global_step=24656 | return=-67.61 | steps=147 | track=bf0fe7d14760435602ff06570c745b99
global_step=24672 | return=-128.36 | steps=131 | track=4f8bc847365b13ef858938e8661e224f
global_step=24816 | return=39.26 | steps=199 | track=b13146cf1c6fb66772a025df7fdfd8a0
global_step=24912 | return=-125.51 | steps=131 | track=d076cba11ea145771ba1efcaac5364f7
global_step=24976 | return=-63.62 | steps=50 | track=0b19612b3b5c894b6729338e74b13a3c
global_step=24992 | return=-133.25 | steps=131 | track=f6c2e09e8b5aa6aa96719210fc9ba00e
global_step=25088 | return=-133.80 | steps=130 | track=3206c1ece11fb10811ff71d52b92f37a
global_step=25184 | return=-133.93 | steps=131 | track=d467b73d48f6fa5308f9400c95bd14fe
global_step=25200 | return=-135.41 | steps=131 | track=bc6b03512a60e1bc577fd82251650ba0
global_step=25248 | return=-130.76 | steps=131 | track=cf467ad4a30f29dfa09e88e5c7edf71c
global_step=25760 | return=-43.60 | steps=148 | track=6b95340c39e283ef6ce25817f2c8d879
global_step=25792 | return=-131.90 | steps=131 | track=5d1fcbfac060f44f05f8b6d0750b4109
global_step=25856 | return=-70.81 | steps=143 | track=caa950c092e3fb09b5c21bd30682476c
global_step=25984 | return=-129.50 | steps=131 | track=43a0018aba3555c667197dbc844e09d6
global_step=26064 | return=2.19 | steps=50 | track=2abe48fca26d9e0e3230cbe713cfd176
global_step=26720 | return=-139.98 | steps=131 | track=fa55c36118049e6f001aeb91fdd0d24c
