/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_0.0_bud_180_21-07-13-22-36/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=18224 | return=-129.30 | steps=130 | track=6b919a168efbe0d7f9af0b07f93391aa
global_step=18336 | return=-127.25 | steps=131 | track=63700e9b67899d01ad06bcf7c965dc0d
global_step=18432 | return=-38.76 | steps=155 | track=d15782846d3ac01bc6c7da01760f839b
global_step=18448 | return=-50.04 | steps=65 | track=0608831bd0d918de33ae73ff6758bb2b
global_step=18608 | return=-121.99 | steps=131 | track=a1a517751c085bea4ebf44b0a0a5f5c4
global_step=18608 | return=-20.61 | steps=72 | track=b5e63f71238864efe8270d5bdb15938d
global_step=18928 | return=-48.34 | steps=43 | track=a6d4e3796519d59fb5c97368f8323d27
global_step=19136 | return=1.43 | steps=63 | track=0532bc5ea8c75967fa79b36695bf0426
global_step=19264 | return=-136.38 | steps=131 | track=71cfbc0ad9f2477b0edaec7365ee9d4e
global_step=19264 | return=-74.04 | steps=273 | track=21c0de03d38bce12fbba8174ee5f04e0
global_step=19296 | return=-93.53 | steps=138 | track=fd9161944eb54c069ad3259d6f224270
global_step=19472 | return=5.46 | steps=64 | track=cd5cbb377853745dca82fff070d30eab
global_step=19520 | return=-125.20 | steps=131 | track=74de292d02c2125ead12497616522574
global_step=19552 | return=94.50 | steps=193 | track=998f048cadd73e0e019551fc740922ef
global_step=19664 | return=-5.75 | steps=45 | track=df964d80d4cda1f02a6929826b52f00b
global_step=19824 | return=-27.17 | steps=152 | track=f04d70fe8131648ce201223d7906589e
global_step=19968 | return=-125.67 | steps=131 | track=b6960cec16b62d219316c53741a1ecb7
global_step=20176 | return=-122.76 | steps=131 | track=21619cf37284f222e66f236af684b36d
global_step=20208 | return=4.01 | steps=66 | track=c5eb41e650ff9af3f0553c467cb6fb5a
global_step=20336 | return=9.21 | steps=66 | track=a476ec6f4ab6f3b0efa06d8781992759
global_step=20560 | return=-124.72 | steps=131 | track=6efee90f3d51b2482a9b1e57919c2a70
global_step=20592 | return=-1.51 | steps=80 | track=9c614c320f01cc8b081b4ad73727a997
global_step=20592 | return=5.58 | steps=64 | track=eb084110f6c6072d53fe814995c84b55
global_step=20816 | return=-24.51 | steps=137 | track=40286af6197b16cf98c8873915a64993
global_step=20864 | return=11.64 | steps=64 | track=8e54c161ed131e04ed2f1db69e959b88
global_step=20960 | return=-49.17 | steps=46 | track=596af97dc9115f2dd6d5cf1461747153
global_step=21472 | return=-87.79 | steps=195 | track=248d71a1bfbfcc651c413bfba9d40952
global_step=21568 | return=-124.89 | steps=130 | track=fcd99931481aac9cd02aac54e5726adb
global_step=21632 | return=-129.39 | steps=131 | track=6f168bba08e9a4f3c8618db054a08993
global_step=21760 | return=-133.92 | steps=130 | track=d5df7a1bb5ae257b401abd8529d854b2
global_step=21792 | return=59.52 | steps=198 | track=af46581fc65dd5b3046d7138798a4b04
global_step=21824 | return=-33.64 | steps=159 | track=7a30097dcdef4310fe9a3d0839219691
global_step=22272 | return=-127.97 | steps=130 | track=d2b7bd27a3bd475461b35488a15f927c
global_step=22272 | return=-119.88 | steps=143 | track=690893f5348903e70ded181be93b93e4
global_step=22448 | return=-27.18 | steps=50 | track=dc7ac8a7a8b4e83defd64454e787fae1
global_step=22672 | return=-124.96 | steps=131 | track=0a49c089a1e07d81c929cbe87b7310ec
global_step=22688 | return=-125.62 | steps=130 | track=4ca86d98342f86d38f5246cb2bd640cc
global_step=22704 | return=-51.54 | steps=147 | track=c868aa3feed0e253b33bd36fcfb8a98b
global_step=22704 | return=-133.82 | steps=131 | track=413bb08ac8ff913f03a850d15cca1a4e
global_step=22896 | return=-124.53 | steps=129 | track=8e178443cada72e180beb682b8245633
global_step=23072 | return=-121.73 | steps=131 | track=a4038389536d639687b3ce5490f1a781
global_step=23376 | return=-141.16 | steps=156 | track=8e13b4ab03e5a4467d384b8cfbad0d43
global_step=23680 | return=-134.00 | steps=131 | track=66f4804d1a7050c42a977f1af8ea379c
global_step=23792 | return=-25.09 | steps=55 | track=1907bcd08d5838a4453931f13c7b35ca
global_step=23856 | return=-135.37 | steps=130 | track=ee456c933bc76eafd371c3d6a159da1e
global_step=23904 | return=-130.21 | steps=131 | track=a188194a44d4c7c5b0831cfdbb740651
global_step=23920 | return=-136.59 | steps=130 | track=cdaf93f8978dbccaad7c0d2be9b42e34
global_step=24176 | return=-108.67 | steps=92 | track=cd1e88dc30ce95423d53618bdb984feb
global_step=24336 | return=55.80 | steps=178 | track=ce038f4c921f3c4f817f41d8ea234af4
global_step=24384 | return=-130.01 | steps=131 | track=85fd25ad66c6c823c8b43ec03fd7f013
global_step=24384 | return=-129.39 | steps=131 | track=314b6fe68234838d435c447829e73050
global_step=24560 | return=-107.47 | steps=131 | track=79073f1a054559edb0101dd6705464d2
global_step=24816 | return=-131.20 | steps=131 | track=ef6e043f7da538e5769b8ff9fe4c4cf8
global_step=25088 | return=-53.06 | steps=46 | track=397813800dc4df2d51b92f56a09d2cd1
global_step=25120 | return=-39.09 | steps=152 | track=dfdbc8c18b45990d6d49678ca17024f0
global_step=25120 | return=-42.76 | steps=45 | track=c5eacac3c19dcddeaee64cd83ab3463e
global_step=25152 | return=-32.14 | steps=152 | track=899dbbab89a9f97296c44ba906b825af
global_step=25184 | return=-119.58 | steps=131 | track=bd301d6640865e90f6733b07c075aa16
