/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.7_bud_90_04-08-13-42-30/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=15920 | return=-136.19 | steps=131 | track=68696d660bb5c8539159d4d6323b08ee
global_step=15984 | return=10.42 | steps=68 | track=33ac07cffcb67eb5ac10ea5cec6496cd
global_step=16064 | return=-58.03 | steps=94 | track=112a3f45c73a95d6fba4cdba797b6cac
global_step=16256 | return=-142.55 | steps=131 | track=615fd395f92625227401c9428089bc99
global_step=16320 | return=-143.13 | steps=131 | track=45023b6f0ec200e252fd9f22cdfa1c20
global_step=16384, SPS=61
global_step=16480 | return=-154.77 | steps=130 | track=8c0ea28b4c470102b3882f9f578360fd
global_step=16496 | return=-114.05 | steps=108 | track=f0db18b5a9b9687f42d0110fc3f06766
global_step=16608 | return=-141.01 | steps=131 | track=c611e0e3a22c58c2c8b61328a0f7f901
global_step=16848 | return=-147.06 | steps=131 | track=dd6a8d03b75943beb3d1eb79e827bc01
global_step=16864 | return=-143.13 | steps=131 | track=a030298ff522bda1b3184eae80e6ac39
global_step=16992 | return=5.85 | steps=66 | track=5e249470947d44c138d1709732882f88
global_step=17184 | return=-99.24 | steps=157 | track=5513c9b265caceb2f87b957ba3cf4a33
global_step=17376 | return=9.10 | steps=130 | track=242cb7ce60d92aa7d511a6596004385c
global_step=17632 | return=-113.26 | steps=166 | track=f03231fcc0236e9795bc2946514d7e88
global_step=17776 | return=-53.03 | steps=94 | track=31ac650aafcc56c11af7387262bf6280
global_step=17808 | return=-63.51 | steps=58 | track=1cc7a2c5c44ac844761be54e863b142e
global_step=17856 | return=-148.54 | steps=287 | track=b3a58c55ed8164e3ca1f7ba76a490790
global_step=17936 | return=-136.70 | steps=130 | track=588cb1be413cb0a2d918beb343be4417
global_step=17936 | return=40.79 | steps=67 | track=bfbf0c9365f7ec51f3b7489be5da3947
global_step=18096 | return=-147.41 | steps=131 | track=36be2c232763f0c672217a0b93429469
global_step=18160 | return=-142.06 | steps=130 | track=499fc39e0f2c68b87041e6392bc0bbc4
global_step=18416 | return=-149.50 | steps=130 | track=514a2edf5533523e384aeb3405d68cb1
global_step=18592 | return=-134.27 | steps=131 | track=de8332fcab4acbde67a0d9553515105c
global_step=18672 | return=-107.58 | steps=92 | track=0f660f4716a013bf5a321f2ffb454bb2
global_step=18704 | return=-152.99 | steps=130 | track=967376c335d51b831b9b9d40797bf2d0
global_step=18816 | return=-7.51 | steps=64 | track=59bc13e247f80f5b30f235f12e266053
global_step=18848 | return=-67.85 | steps=42 | track=ab7e8036e346504e51816f943ee27a20
global_step=18928 | return=19.81 | steps=66 | track=2a84b918c58bd055e736e8d148b84472
global_step=19056 | return=47.14 | steps=69 | track=4b1abbbede9a1a4f0bf4466871ac4198
global_step=19376 | return=-134.21 | steps=124 | track=f5cdebf8b02c1fa39cd4eb3ed08df20a
global_step=19392 | return=-82.87 | steps=90 | track=5fd2c5923fc586a6c80f38620f228082
global_step=19552 | return=-103.37 | steps=90 | track=d791c0fb7c92eaaf5b688a8fa1dcbbcf
global_step=19728 | return=24.02 | steps=65 | track=9ed3293a59733f2a01d438d59be98eaa
global_step=19728 | return=15.82 | steps=70 | track=0ecc54de123a5bfbad7db1f43ea41122
global_step=19744 | return=-149.31 | steps=131 | track=c3b31f23d8966202581379734348a3b9
global_step=19808 | return=48.00 | steps=206 | track=80cf71bc1f6993fcc449a86b6f786b01
global_step=19872 | return=-168.74 | steps=248 | track=02aa6f8d12aad953f81cdc264255b75f
global_step=19920 | return=-135.41 | steps=131 | track=2375d3bf00b440bb5bc52e4a4d1bea5c
global_step=19968 | return=-106.69 | steps=96 | track=2a15a11918336be041b184e6914bf9fd
global_step=20304 | return=-32.42 | steps=46 | track=506d44f48ef588c630afbf7f25e53c36
global_step=20480 | return=-52.29 | steps=217 | track=fc191cb6283043fe3aa34e85f742c460
global_step=20800 | return=-142.24 | steps=130 | track=e572aba340e72fa678f0d9742040491a
global_step=20912 | return=-108.69 | steps=95 | track=2e9d6cac4bf437852dbe715e054768ca
global_step=20944 | return=-129.42 | steps=132 | track=896d3565984936a0da1a22bdf5a0f2f5
global_step=20960 | return=-146.42 | steps=131 | track=a79506483447e1b53dbdfec25877ec2e
global_step=21040 | return=-135.97 | steps=131 | track=9508d384fed9708ddfcdaf805fdec07e
global_step=21104 | return=-23.47 | steps=76 | track=5a6afadf955f4b640f2a8390e9c02d4d
global_step=21168 | return=-157.31 | steps=131 | track=121f110f20a96c171d92a2606fca1c02
global_step=21504 | return=-132.84 | steps=131 | track=4ca9b801f4b16fe0a11c35a4f8a06815
global_step=21760 | return=-25.81 | steps=50 | track=9a3dc6a1cf530ab934b732ad83b7900a
global_step=21840 | return=-141.71 | steps=131 | track=1655dd691bc646309e9d0c6b36931b9f
global_step=21856 | return=-136.62 | steps=131 | track=eed8b9e8064bfc247a8212dae7b9ef44
global_step=21904 | return=-148.44 | steps=130 | track=33457b93802eefb39d7af7c483ef8cba
global_step=22032 | return=-151.70 | steps=131 | track=49d60d7fb34f0d38b05a3bea9e0723ed
global_step=22176 | return=-41.53 | steps=137 | track=7ab5a2008e73b00f45e4e3cb4bdcb3b1
global_step=22416 | return=-128.00 | steps=131 | track=7f35ae92b3743f52f864d77e7bb99011
global_step=22544 | return=-33.73 | steps=48 | track=29b926bbc575d409c4449dbe41ca346c
global_step=22592 | return=-150.61 | steps=131 | track=5e20a3648fc7db6d555a50def50be516
global_step=22880 | return=-8.59 | steps=64 | track=010c38238842ad37c01222353cdae409
global_step=23104 | return=-124.51 | steps=136 | track=d5b7add4277f0420918c20563fbaf55d
global_step=23152 | return=-146.60 | steps=131 | track=0ec5c7237861cf9803088707c9ab8fe5
global_step=23280 | return=-141.20 | steps=131 | track=7fc2628f8edc12ddaeeba8ae7b7c60d2
global_step=23424 | return=-208.20 | steps=230 | track=796bd46031b442086138e169eb8e79dc
global_step=23792 | return=31.81 | steps=167 | track=f5dd86a10819500cf3c869330de0ddd4
global_step=24016 | return=-146.31 | steps=131 | track=811161711ef350f5c0495091159dfb49
global_step=24112 | return=-109.92 | steps=196 | track=f15c90a03235b1f0a5da0a72b2cfbd05
global_step=24144 | return=-137.67 | steps=131 | track=95d4371695b7e0eb4b6b0eee222a56a1
global_step=24288 | return=-144.90 | steps=131 | track=c956afd99a63410a30df7e5d24154aaf
global_step=24416 | return=-159.45 | steps=159 | track=9abd2b95c6fe41857ccbe96e149eebb9
global_step=24528 | return=-142.67 | steps=131 | track=64eba72a3c1b8174661de804c8c77339
global_step=24560 | return=-183.02 | steps=234 | track=5e893336cf4ae800720c3dbaaa35160b
global_step=24592 | return=-27.36 | steps=72 | track=39033744ca3e60d038054a2da9199e7d
global_step=24608 | return=-112.73 | steps=193 | track=2776dcdac7b8b3842e563f31d74ef9e6
global_step=24656 | return=-139.96 | steps=131 | track=65c7fc23c2f4cb8f147f034ea8eabcdd
global_step=24704 | return=-150.29 | steps=131 | track=3ce5ee5224422ee9b66de135b06425d8
global_step=24976 | return=-145.50 | steps=130 | track=6d7e620b6eba06814d5b016a97349a03
global_step=25216 | return=-166.11 | steps=131 | track=11188cac54f4527cca89954a4cac87a1
global_step=25264 | return=-141.91 | steps=131 | track=95739fe991770f6daea4e8e42a5e9a15
global_step=25392 | return=-147.60 | steps=131 | track=94cd87b684e08add5630237f2ebfff8f
global_step=25744 | return=-113.67 | steps=107 | track=f89f284b087e56e7cd361af4757583a9
global_step=25792 | return=61.55 | steps=70 | track=7778b42982613204e4f76052504e7f5d
global_step=25888 | return=-144.88 | steps=130 | track=71883b860466bceed3e9a630c252b36f
global_step=26208 | return=-58.39 | steps=99 | track=b0e1d520bf115316b813ce2631b5fb09
