/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.8_bud_90_04-08-13-45-36/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=18704 | return=-15.01 | steps=68 | track=f519a564eff1b6555956d05923167875
global_step=18816 | return=-147.63 | steps=132 | track=4935afa3fc15bfa93572daeffe7c23f0
global_step=18912 | return=18.74 | steps=72 | track=f05a3a42b0bdb1d357e50aa6aa1e6b23
global_step=19152 | return=-139.38 | steps=131 | track=686213937737f2ab91cbfbee17b5ce22
global_step=19392 | return=-106.15 | steps=95 | track=db7a5fa7cf0f7f18644299e2a1d8d74c
global_step=19424 | return=-83.79 | steps=58 | track=ea771fa5477707f29f3339b498a519d7
global_step=19520 | return=-21.05 | steps=61 | track=3aba9571e5fcc3fafab03ee83f910939
global_step=19600 | return=-43.79 | steps=92 | track=2bcea774d303dc5da3b2e1ab7c51d775
global_step=19616 | return=-92.59 | steps=90 | track=9cba08e02f9af9aeca81ece4abfbef90
global_step=19664 | return=-70.33 | steps=46 | track=3a976b2e857eb7ae1e5e8ab313213099
global_step=19936 | return=5.67 | steps=132 | track=01338363175b128ae952ed602ba71b1a
global_step=20304 | return=-29.18 | steps=164 | track=1cf238967c1007847903f460c5bc8d2e
global_step=20352 | return=-145.51 | steps=131 | track=9c8b0a8c2ca7bfb30620916c5fb708c4
global_step=20416 | return=-150.80 | steps=132 | track=c8dfb8086974cc4ad656b0f2401dfff4
global_step=20464 | return=-19.28 | steps=213 | track=cb6b5deb06f31e7f2989bab0672075d7
global_step=20560 | return=-135.78 | steps=131 | track=bed2e967b619a2755fc3f2ff163b9dfd
global_step=20832 | return=-105.11 | steps=89 | track=7644524684ed5a8e1a006415365fc019
global_step=20928 | return=-141.16 | steps=131 | track=4ce78dd33eb861c69380768445470f55
global_step=21264 | return=-137.83 | steps=131 | track=e594ba027c4ea4c1c2c56366455e9bc7
global_step=21440 | return=-90.26 | steps=93 | track=7c772626dc16dc6963a3bd9ff33fd149
global_step=21536 | return=-148.10 | steps=131 | track=c53661003bab326ad81c77f64484796a
global_step=21664 | return=44.70 | steps=133 | track=65cd60030948178acea179801cc84ff5
global_step=21712 | return=-141.87 | steps=131 | track=cade4dc9134d68c082bb36b8224a5dd1
global_step=21728 | return=-140.94 | steps=131 | track=9b178122cadfbb1d850150e766c03cb8
global_step=21776 | return=-152.15 | steps=131 | track=827bd9a8c3df286b8d5fcb029cfc9770
global_step=22176 | return=-76.68 | steps=109 | track=41e0d8fd4dfa92c1605c3aec89a51042
global_step=22288 | return=-92.69 | steps=223 | track=d6023ea8b2d57c6f748543337fb97b6a
global_step=22416 | return=-138.21 | steps=131 | track=e827caa3fbe6043ed08e534d0aea82ba
global_step=22416 | return=-122.81 | steps=98 | track=77b05d0f9dec86ef5d21fa9924376665
global_step=22464 | return=-136.59 | steps=131 | track=317f4d3e2f6deabf7b482284d312d154
global_step=22576 | return=-145.33 | steps=131 | track=10d225cbbf15809439ecbcf6e3ec102e
global_step=22640 | return=-203.66 | steps=249 | track=2d99ff0e290e8e603782610aaa440b1d
global_step=22656 | return=-145.51 | steps=130 | track=a28d7cffbafd64cbd031eeb0e75095ef
global_step=22720 | return=-7.67 | steps=65 | track=fe3d885246e92e1adcb564efb1b005ec
global_step=23344 | return=-35.33 | steps=42 | track=8d8aabf3c249a1dbb78fe4f956626845
global_step=23376 | return=-128.48 | steps=152 | track=6cb00d95123b1b10aac527ee5136f89f
global_step=23632 | return=-164.34 | steps=130 | track=3053f1069488e8955f3008cda96632d1
global_step=23744 | return=-88.70 | steps=143 | track=279be7cfcd7eb0f9f1c213f4b6da39a6
global_step=23840 | return=-166.81 | steps=131 | track=15ece90ba8f0b9f51e0ef5b01f8c6338
global_step=23888 | return=-150.01 | steps=131 | track=9cde6a9cef279e44cd9d55f4f66c3327
global_step=24112 | return=-50.32 | steps=149 | track=e10a877e8e6de838ad83ad8695229778
global_step=24176 | return=-126.29 | steps=109 | track=6df90c679967b66ae8cc651f9cd32f6f
global_step=24256 | return=-112.28 | steps=129 | track=09373c2c729ab541bca70c8fc424a20a
global_step=24400 | return=-131.62 | steps=131 | track=ee4dae9099b05b1c0952fd7770b89ed2
global_step=24688 | return=-92.72 | steps=141 | track=540a29eab1ce54e35be0b4be1adab2b5
global_step=24688 | return=-141.41 | steps=131 | track=178eaafe404c679867734d370ecf0eaf
global_step=24736 | return=-143.94 | steps=130 | track=8b8a811dff884e5fc7869ce024dc9005
global_step=24784 | return=-96.61 | steps=89 | track=4602c1009bb56deb84d98090dbace576
global_step=24816 | return=-260.33 | steps=221 | track=ed3359eb6030c3250640792ab4fea646
global_step=24912 | return=3.81 | steps=66 | track=4fde27a720e046d50de4a76abd9a72ff
global_step=25280 | return=-106.24 | steps=175 | track=ae298ddb3835310f0cfcd67afd0327ea
global_step=25472 | return=-156.73 | steps=130 | track=63ffba4a69483f916b5a21b4493d9bd5
global_step=25504 | return=-141.17 | steps=173 | track=f9f1be6e1e9dfc38b61fcf85c78aede7
global_step=25696 | return=-12.23 | steps=62 | track=d7f30cd9ac0038650b55f780e747029b
