/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.0_bud_90_04-08-13-45-39/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=20720 | return=-14.90 | steps=61 | track=417e327cc13118bfa4b0a7d9495cb06d
global_step=20736 | return=-136.87 | steps=136 | track=d536081cc6dfca9b381671cca5d1ebb6
global_step=20944 | return=-143.91 | steps=131 | track=3d49a3882e6fa3a40defb7943c2ae2c6
global_step=21008 | return=-138.40 | steps=131 | track=cb986e76a30767f7abef3f95df3db6fa
global_step=21104 | return=-73.79 | steps=236 | track=0d25039af4dac59bbd071d31d8b8d84e
global_step=21104 | return=-156.77 | steps=131 | track=fe348ce822023185d8a9d0c0219ea180
global_step=21280 | return=-135.58 | steps=131 | track=5b515c11813ccc9a33d2887e8d556528
global_step=21392 | return=-128.06 | steps=123 | track=f09b1985b8416aca6d285e36c2d9188f
global_step=21472 | return=-96.98 | steps=97 | track=446c74f6a96c1bcd8dfef242a15f3502
global_step=21600 | return=-139.25 | steps=131 | track=1258f1b6aadac748be4cc4958960b3e3
global_step=21728 | return=-25.23 | steps=62 | track=f35952ccde6440158cd21362919022af
global_step=21824 | return=-144.81 | steps=131 | track=feb33d7b6465518dfe78210b1e691a74
global_step=22064 | return=-77.07 | steps=41 | track=3215e290e009b854b45c0481c44eb3f0
global_step=22096 | return=-150.24 | steps=130 | track=8b35de13fedbbd655828441a95b961fc
global_step=22272 | return=-133.48 | steps=221 | track=d571f568371724922961d78176c2d1de
global_step=22320 | return=-40.58 | steps=44 | track=b6d35db8867524462c9e8982f82565bb
global_step=22512 | return=-145.47 | steps=131 | track=c579b9b18c033b80ee1333500235cf0c
global_step=22624 | return=-28.45 | steps=71 | track=d51eee21f08fee3022a91b63815a4088
global_step=22752 | return=-62.24 | steps=42 | track=5b47c9a60a0be3a724ad861f522312cd
global_step=22816 | return=-151.39 | steps=131 | track=78304eb06ccd3d969591266465667211
global_step=23008 | return=-194.98 | steps=171 | track=72aaf044f7b89bb9ee58d0bf405e85c6
global_step=23040 | return=-137.40 | steps=130 | track=e23f1709f7a6cad1d393d5e55a3bd31e
global_step=23216 | return=-148.13 | steps=131 | track=ad532ea3c8423880e571639dba89ad26
global_step=23216 | return=-145.25 | steps=131 | track=dd51418ccd7221878dae7716073466ef
global_step=23408 | return=-134.67 | steps=132 | track=f01084ce0c437ee493b3dce539a7f763
global_step=23568 | return=-64.84 | steps=176 | track=3188f8117df3632edace3a502ceeac2f
global_step=23760 | return=-53.52 | steps=58 | track=6c22f84226ff120e8cad618a62be756c
global_step=24144 | return=-122.89 | steps=150 | track=10c10b537492823b048b33bafc79cfef
global_step=24160 | return=-59.41 | steps=145 | track=647861a6ec550bf6fc1b05a2ffd67328
global_step=24432 | return=-133.51 | steps=131 | track=00e51f7cf9ced3bdeb788d04a14dfcbf
global_step=24576 | return=-23.81 | steps=62 | track=9fa3bc45c6cfef0a44171fd4d5b49713
global_step=24624 | return=-167.78 | steps=131 | track=dc495c8b39289fca1a9ee402b86f8d73
global_step=24656 | return=-140.50 | steps=159 | track=1ed832da91e31dbf9c542ed3529c396f
