/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.1_bud_90_04-08-13-45-39/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=20048 | return=-136.11 | steps=131 | track=845d9af7bf266402c7eaf58a121dbebd
global_step=20176 | return=-162.10 | steps=130 | track=5638ea6ac0f7b23affb858017256c854
global_step=20368 | return=-143.18 | steps=130 | track=9a1d648b1452c39a9e5fbb6e8fa45caf
global_step=20464 | return=-29.81 | steps=61 | track=efa68cbafd6b375cfd96b9cf8e1319ad
global_step=20784 | return=-128.09 | steps=131 | track=3c7f83b3e03c31c877b332c257cd4f15
global_step=21008 | return=-145.51 | steps=131 | track=9e5ee9e3c6ada597b81f0fceeab02697
global_step=21184 | return=-140.69 | steps=131 | track=8156871bf462c6851288e65621aec34a
global_step=21280 | return=-127.72 | steps=264 | track=912a603b37121c16a0a0a98d20432188
global_step=21280 | return=-136.95 | steps=131 | track=2624e5d9318e70cdab71e3f948294b04
global_step=21504 | return=-139.41 | steps=131 | track=e871bad374036b72dd8526d57c710b18
global_step=21552 | return=-99.32 | steps=93 | track=f17b12f29ff9d2aa6c825336620f811e
global_step=21568 | return=-152.59 | steps=131 | track=8ef038afb9a16b477c501608f7f0bd32
global_step=21600 | return=-144.99 | steps=130 | track=ac56dac2a794580108e90913b33c3fd9
global_step=21728 | return=-140.89 | steps=131 | track=e13330a20240dec1586fd7eac87b9b3b
global_step=21776 | return=-143.62 | steps=131 | track=ce828c1cebcc045425582f68611e4e3b
global_step=22016 | return=-149.68 | steps=130 | track=64f3d5fbf6fd6d878ce2352769c65b64
global_step=22080 | return=-168.54 | steps=266 | track=f711f49036273dafa4ad27eaa227574d
global_step=22240 | return=-58.89 | steps=45 | track=590d95b945bdb6d104300f038b177427
global_step=22272 | return=-163.89 | steps=130 | track=153ad6910615a24f2c30c15cc1244c00
global_step=22480 | return=-153.83 | steps=131 | track=fc08c182c913fc03850a8aac9e9bb380
global_step=22576 | return=-166.72 | steps=131 | track=76c51919596f59de0764b0bf050ab5a7
global_step=23008 | return=-58.99 | steps=107 | track=7fd3bf6671b54df986d66067bc09e3b9
global_step=23104 | return=-162.20 | steps=144 | track=0ab08863dd4b0347f3c86aaa039e7cb3
global_step=23296 | return=-144.00 | steps=131 | track=089c540ec84204ff000ff375e34c1ce4
global_step=23328 | return=-45.65 | steps=81 | track=d4e3f153234c12b361d83e46b437719e
global_step=23392 | return=-162.86 | steps=131 | track=9727507e70b061d8ed7744ff04713866
global_step=23664 | return=-153.91 | steps=131 | track=a2d0cbf31972ae7a5f92bd92244de0ec
global_step=23680 | return=-157.86 | steps=131 | track=b7e44f83ebb3df3013146efc3304ded0
global_step=23712 | return=-141.51 | steps=131 | track=c82a1e0040fdcb5ce92bb173b37e2256
global_step=23840 | return=-137.53 | steps=131 | track=3bc86f8dd7d6cd7fd4a0fd862224399a
global_step=23872 | return=-167.96 | steps=130 | track=46d7e635049f258394d8827ae85d21a8
global_step=24048 | return=-51.15 | steps=58 | track=521951ac3d1e75ebef82ee1dbd537893
global_step=24192 | return=-155.83 | steps=131 | track=79b9ec2e826a1bb36fd88f6fb95635d0
global_step=24224 | return=-110.36 | steps=102 | track=1ca898ebbe0dab77d295c42768becb6c
global_step=24352 | return=-142.12 | steps=131 | track=562a7a6c14021536499a2be90136d3d0
global_step=24352 | return=-180.35 | steps=208 | track=630164bdc944d0e0ebd44725340a1e09
global_step=24384 | return=-148.34 | steps=131 | track=c8eba61a9299e98f115e8458ab5c33cf
global_step=24592 | return=-152.08 | steps=131 | track=9a19fe51c5c4581bfb07ce026cd422db
global_step=24832 | return=-20.37 | steps=69 | track=a0245c2a07a456bef18ce8e719de9544
global_step=25008 | return=-61.48 | steps=70 | track=84daf86132fa432ff59b84bcde772cee
global_step=25120 | return=-153.18 | steps=131 | track=ea7acf7fca80cdc55adc94dddf287aba
