/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_WO_Time_Pen_fc_1.9_bud_180_04-08-14-41-58/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Env: CarRacing_VarFramerate_WO_Time_Pen  Wrapper: AdaptiveFPS_TrackAware_Wrapper
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=13520 | return=-99.68 | steps=130 | track=8a7ad3b41fb63204543d959354fe0793
global_step=13736 | return=-82.83 | steps=131 | track=26521ae877843dba802acfd8d71953c4
global_step=13912 | return=6.91 | steps=161 | track=16f53b80c47c9a2e9ecd8e5df7d7dcd7
global_step=14000 | return=47.01 | steps=68 | track=d7db29e6da9d787fabeb9d0d89700a06
global_step=14232 | return=-98.03 | steps=131 | track=87208bb9bad9327304df1b8db139e41e
global_step=14288 | return=17.28 | steps=157 | track=580d5f0cca0cb2906e7da308ad9d05a0
global_step=14408 | return=-16.74 | steps=110 | track=dfeddd3ef8c46f6762ccd4cc5ef081c0
global_step=14480 | return=-100.18 | steps=130 | track=a15fbc08bd96e4f835b7accc38ba5068
global_step=14576 | return=-48.56 | steps=186 | track=4c01a7b1d65a106d4defdb18efeb2e3a
global_step=14784 | return=-102.84 | steps=130 | track=16bc174efd1628259b5b4424ea0302bc
global_step=14968 | return=-38.25 | steps=91 | track=594a53108409a7547e1883306ac919e7
global_step=14968 | return=-96.50 | steps=131 | track=f0bc2f6db0331166a93c960cb5954321
global_step=15056 | return=-97.91 | steps=131 | track=3c97e6bc8a626ffc0ed9a416259ea8ec
global_step=15144 | return=-29.81 | steps=44 | track=eea6898681055936ff038ae4c925c75c
global_step=15152 | return=64.42 | steps=71 | track=d64aa2d715eaa350d0fc0b15455b9eed
global_step=15336 | return=-95.68 | steps=130 | track=8800fb762ed390e5109ab0c2521e8507
global_step=15464 | return=-101.51 | steps=131 | track=03f3bff310bb90517196ac56ee80475c
global_step=15504 | return=22.23 | steps=66 | track=4e8590c7eeafe5825bc42993e92cb09a
global_step=15528 | return=-84.66 | steps=130 | track=0a6b71532717f417346ed7730cd52d28
global_step=15648 | return=-13.09 | steps=73 | track=fc5b514d705c5662540e8f177a815f5f
global_step=16000 | return=-6.45 | steps=61 | track=8264aec543c461df15955ba602c6a736
global_step=16024 | return=-94.50 | steps=131 | track=d7e004b2da64499ffa3dd6e3d8109afc
global_step=16024 | return=-76.38 | steps=108 | track=7d746cf3bfaad75d814879e9667e0a88
global_step=16144 | return=32.40 | steps=76 | track=ddb01abb8c90898ce4bc4de5d092f675
global_step=16200 | return=-95.88 | steps=131 | track=aa84b944fe1f4f837d095e9c873fac44
global_step=16384 | return=-35.07 | steps=44 | track=f996ad434586c000c495edcee66d8851
global_step=16384 | return=-85.67 | steps=130 | track=ecf7971b01d39abb6eb9f084fc9a0f5e
global_step=16384, SPS=41
global_step=16512 | return=-91.80 | steps=130 | track=ebf5123dea1b32932ad6d1ef873f7b90
global_step=16584 | return=60.26 | steps=69 | track=bdd57c7f99b371ccddf0e8d270fb012b
global_step=16856 | return=36.92 | steps=81 | track=b61fbbfd4ca035818c2948cca2760cde
global_step=16904 | return=22.21 | steps=156 | track=5756d535e168ba4f77f41f01239e98e1
global_step=17056 | return=-87.76 | steps=131 | track=2cf033a3cdd8faaea7da8a9d1032319f
global_step=17208 | return=-95.45 | steps=132 | track=e27dd17f251bca1c9032842d9beccf3b
global_step=17440 | return=-103.26 | steps=131 | track=9cc4c8d996e71c884541a7d10308968f
global_step=17544 | return=58.57 | steps=85 | track=e78284ef898b8235ebd76da9ea170c19
global_step=17568 | return=-92.80 | steps=131 | track=6c330b5f1779a5f9ba5fdd841c174de1
global_step=17632 | return=-112.31 | steps=130 | track=006172466a26ac013c26254c42ed5f32
global_step=17816 | return=-44.26 | steps=46 | track=800f5431fbc773579412596e0ca61964
global_step=17896 | return=-106.13 | steps=188 | track=348f79770d5ac0636f402b31f1ee53c2
global_step=17992 | return=-27.20 | steps=55 | track=5d53910e1c903354c8533820b7e6f469
global_step=18072 | return=-74.52 | steps=107 | track=716398d2c3cf4a480d2470af69afd1c2
global_step=18112 | return=-104.95 | steps=131 | track=230753fa290cbe8ff0aafa5228d5fd5e
global_step=18152 | return=-18.48 | steps=64 | track=867637e4b633c0e6f8eade5d645f4e7c
global_step=18624 | return=-100.91 | steps=131 | track=69008c6cc0d097b55247fff151e00f82
global_step=18872 | return=-61.26 | steps=94 | track=3d6371d77bc6051a3a5970df9aaba5cd
global_step=18896 | return=119.61 | steps=248 | track=e617873b86a555b12dc708cbc3d91b04
global_step=18952 | return=-53.00 | steps=131 | track=1a672ed69afe1df2d4cb8af2bb7ec280
global_step=19048 | return=-88.90 | steps=131 | track=1ad07525880c2d0126429a0bd6a68173
global_step=19048 | return=21.89 | steps=153 | track=7b1aedb3875370d716a4b8e9ab8489c7
global_step=19208 | return=-91.22 | steps=131 | track=c7a78e29ef22c2f19c5967d86991d86b
global_step=19432 | return=30.10 | steps=66 | track=36a5345b87dc5acca38749f61832de4b
global_step=19672 | return=-86.38 | steps=130 | track=c0916fa8e91d66d137d4690d0b30ec91
global_step=19928 | return=-90.43 | steps=131 | track=3ec75488938635d72fb31d799b390b4b
global_step=19968 | return=-163.95 | steps=236 | track=bd15f928de938298ac2ecf21ba19b8dd
global_step=20008 | return=-92.29 | steps=131 | track=53a693fe99b8c3b3d3b7da7f6715a56c
