/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_WO_Time_Pen_fc_2.1_bud_180_04-08-14-42-01/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Env: CarRacing_VarFramerate_WO_Time_Pen  Wrapper: AdaptiveFPS_TrackAware_Wrapper
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=20040 | return=-95.48 | steps=131 | track=15ff340edcdaca92be844ff237d8d1cd
global_step=20240 | return=-38.74 | steps=91 | track=9a2b064fbc2b9c8f268a6ebb52724a6e
global_step=20600 | return=-25.74 | steps=81 | track=4ffc8846c9984e4f7cbb613875329163
global_step=20608 | return=14.85 | steps=93 | track=f2e259cc2759df81e015cd845b9f0597
global_step=20760 | return=-101.72 | steps=105 | track=0aaf9b6628c462c614e39b78c4ec0678
global_step=20840 | return=-96.60 | steps=131 | track=e2b5727d5dbee75db796a4bdf97effcd
global_step=20872 | return=118.76 | steps=139 | track=36fd7b819236156e660e3f9842f9862f
global_step=20984 | return=-92.23 | steps=131 | track=3d265f2630ba461e2a6a96b48c72c749
global_step=21096 | return=-86.17 | steps=131 | track=bab0416ddee38ddca66646de6e2c735f
global_step=21304 | return=-97.13 | steps=132 | track=c5a4f14fcb6dd7ebcae84ad0953dec12
global_step=21664 | return=-98.30 | steps=131 | track=184fc64ed1d8c8585e2b512af91fe7a1
global_step=21816 | return=-105.23 | steps=131 | track=78d21c7b209de0d45d655cd9a595f722
global_step=21896 | return=-83.51 | steps=131 | track=ee91aa7b8c76b09bc80babefacf92973
global_step=21920 | return=-92.05 | steps=130 | track=9938a931b1fd29c4153fbc85d51a0e78
global_step=22040 | return=-94.04 | steps=131 | track=8b1e7135877ea2309050767d4dfc1c88
global_step=22064 | return=-25.87 | steps=49 | track=b36ffccf6274209f0fa532603792316e
global_step=22152 | return=-104.39 | steps=131 | track=14d52c7d80a5f0c901a22ba62e171430
global_step=22352 | return=45.36 | steps=66 | track=74f7d7e9e4ce99750125ad003f59aca3
global_step=22360 | return=-93.76 | steps=131 | track=c0aa46cae73dba5365a1789481ecf61b
global_step=22552 | return=-7.59 | steps=81 | track=ee07cdc2f22e248c1ee0b5dd952f1e94
global_step=22648 | return=-95.07 | steps=255 | track=21eb61c623d40876b5849ccbcecb5b10
global_step=22664 | return=21.25 | steps=77 | track=0525b661cdbd42a048089bb24507874a
global_step=22712 | return=-23.75 | steps=69 | track=0bfa1bbff8506f9fc3ab2e25731a8bbe
global_step=22968 | return=-90.05 | steps=130 | track=4c8464e523731efb43f6904f859ddd19
global_step=23112 | return=44.33 | steps=69 | track=887432df1b1eea19820afbfd7185be98
global_step=23408 | return=-88.94 | steps=131 | track=f71b5f1035ec3de616acf19099b958f7
global_step=23424 | return=-88.73 | steps=132 | track=7142cfae5a2f71c3ed2a62389ab2baae
global_step=23456 | return=-46.68 | steps=42 | track=c4de9d035c7696d882b3b2a3e36af3cd
global_step=23528 | return=-35.03 | steps=182 | track=dc0ac6111d6c33b01de41a23b8323d09
global_step=23704 | return=-94.75 | steps=131 | track=63906dd3a5af2de46adf0cdf2d8a9fc6
global_step=23720 | return=-81.90 | steps=131 | track=6f1bb17c1e719297c8f48867097fa44b
global_step=23760 | return=-97.68 | steps=130 | track=06380c645396096fb52140ccf53da6ce
global_step=23992 | return=-77.48 | steps=70 | track=49810f2bc852b4e38badc259e47e3c07
global_step=24024 | return=-83.83 | steps=131 | track=7bc43689f8554a0fbef9941e24679f7b
global_step=24056 | return=44.66 | steps=65 | track=6f4aa4a55be68a5e1ae1c7d026ea9174
global_step=24504 | return=-59.68 | steps=130 | track=c790efe504e0096c0baf2ccf795cff5e
global_step=24528 | return=-70.84 | steps=139 | track=277800f9876799de453f14a4005dbba3
global_step=24536 | return=3.29 | steps=63 | track=1ce63a6969b27bf0ca9b7cd7a7a192d2
global_step=24576, SPS=39
global_step=24752 | return=-95.43 | steps=130 | track=2093ec63ae54214305536d6e1bda0801
global_step=24768 | return=-61.23 | steps=130 | track=fa25d7d54bee918642708afcd8bd8cac
global_step=24800 | return=-19.45 | steps=92 | track=489eeb89652c9915ba6170a0645713f1
global_step=25056 | return=-73.61 | steps=132 | track=c7583669361bc9de09ed81f3df082d3c
global_step=25104 | return=31.22 | steps=70 | track=8ee79c7b14d73dc77af19ba63eb16b65
global_step=25304 | return=-43.06 | steps=66 | track=9e6bcd9be48c3853da766c7901a90bba
global_step=25584 | return=-104.64 | steps=131 | track=d8bf5b4e3777d5899e7f91ea04b6f980
global_step=25592 | return=-87.87 | steps=228 | track=781934664f72af34c61a9f626e0b9d83
global_step=25808 | return=-23.82 | steps=131 | track=790c262139ec53e0b638218f75ba55f8
global_step=25856 | return=-84.25 | steps=131 | track=f7d75ab304ad5429fb1ba8ea5cd7e888
global_step=26096 | return=23.64 | steps=62 | track=fa7b44d8688d56cdd2505cdc94b52189
global_step=26112 | return=-89.18 | steps=131 | track=5546c7484c2adedbae2aea75d2497d98
global_step=26160 | return=-108.31 | steps=131 | track=39ba80ed2cddce54e8a290ca3c5f2c08
global_step=26208 | return=1.62 | steps=212 | track=292e610427dd23f05ccc7dd178691fdd
global_step=26360 | return=-101.99 | steps=131 | track=6d1de0c76195c2d96c2205be03b1b30f
global_step=26392 | return=-4.90 | steps=72 | track=d3f96e8dad98063e7359407ec7ce3699
